"PEAKID","peakbias","phenotype"
"broadPeak_31655","mat","WL"
"broadPeak_31921","mat","WL"
"broadPeak_32048","mat","WL"
"broadPeak_32049","mat","WL"
"broadPeak_33010","mat","WL"
"broadPeak_33030","mat","WL"
"broadPeak_34023","mat","WL"
"broadPeak_34172","mat","WL"
"broadPeak_34193","mat","WL"
"broadPeak_34293","mat","WL"
"broadPeak_34299","mat","WL"
"broadPeak_34300","mat","WL"
"broadPeak_34302","mat","WL"
"broadPeak_34389","mat","WL"
"broadPeak_34447","mat","WL"
"broadPeak_34455","mat","WL"
"broadPeak_34460","mat","WL"
"broadPeak_34466","mat","WL"
"broadPeak_35313","mat","WL"
"broadPeak_35430","mat","WL"
"broadPeak_35451","mat","WL"
"broadPeak_35473","mat","WL"
"broadPeak_36235","mat","WL"
"broadPeak_36323","mat","WL"
"broadPeak_36324","mat","WL"
"broadPeak_36325","mat","WL"
"broadPeak_36333","mat","WL"
"broadPeak_36340","mat","WL"
"broadPeak_36372","mat","WL"
"broadPeak_36391","mat","WL"
"broadPeak_36447","mat","WL"
"broadPeak_36514","mat","WL"
"broadPeak_36534","mat","WL"
"broadPeak_36536","mat","WL"
"broadPeak_36537","mat","WL"
"broadPeak_36676","mat","WL"
"broadPeak_36677","mat","WL"
"broadPeak_36967","mat","WL"
"broadPeak_36970","mat","WL"
"broadPeak_37022","mat","WL"
"broadPeak_37173","mat","WL"
"broadPeak_37242","mat","WL"
"broadPeak_37536","mat","WL"
"broadPeak_37760","mat","WL"
"broadPeak_37765","mat","WL"
"broadPeak_37775","mat","WL"
"broadPeak_38314","mat","WL"
"broadPeak_38490","mat","WL"
"broadPeak_38559","mat","WL"
"broadPeak_38804","mat","WL"
"broadPeak_38817","mat","WL"
"broadPeak_38894","mat","WL"
"broadPeak_38895","mat","WL"
"broadPeak_39450","mat","WL"
"broadPeak_39544","mat","WL"
"broadPeak_39551","mat","WL"
"broadPeak_39556","mat","WL"
"broadPeak_39598","mat","WL"
"broadPeak_39629","mat","WL"
"broadPeak_39822","mat","WL"
"broadPeak_39830","mat","WL"
"broadPeak_40184","mat","WL"
"broadPeak_40191","mat","WL"
"broadPeak_40253","mat","WL"
"broadPeak_40277","mat","WL"
"broadPeak_40570","mat","WL"
"broadPeak_41163","mat","WL"
"broadPeak_41231","mat","WL"
"broadPeak_41232","mat","WL"
